Company,TypeName,Ram (GB),OpSys,Weight (kg),Width,Heigth,IsTouchscreen,CpuProducer,CpuSpeed (GHz),MemoryType,CombinedMemoryCapacity (GB),GpuProducer,Price_euros
Dell,Ultrabook,8,Windows 10,1.41,1920,1080,No,Intel,1.6,SSD,256,Intel,949.0
HP,Notebook,8,Windows 10,1.91,1366,768,No,AMD,2.5,SSD,128,AMD,445.9
HP,Notebook,16,Windows 10,2.9,1920,1080,No,Intel,1.8,HDD,1024,Nvidia,1059.0
MSI,Gaming,16,Windows 10,4.14,1920,1080,No,Intel,2.8,"SSD, HDD",1536,Nvidia,2499.0
Lenovo,2 in 1 Convertible,8,Windows 10,2.0,1920,1080,Yes,Intel,2.8,SSD,512,Nvidia,1699.0
Dell,Notebook,8,Windows 10,2.8,1920,1080,No,Intel,1.8,"SSD, HDD",1152,AMD,1142.0
Lenovo,Notebook,4,No OS,2.2,1920,1080,No,Intel,2.0,SSD,256,Intel,444.0
HP,Notebook,4,Windows 10,2.1,1920,1080,No,Intel,1.6,HDD,500,Intel,722.0
Dell,Notebook,4,Windows 10,2.18,1920,1080,No,Intel,2.5,HDD,1024,Intel,657.0
Dell,Notebook,8,Windows 10,2.24,1920,1080,No,Intel,2.5,HDD,1024,AMD,565.0
Dell,2 in 1 Convertible,8,Windows 10,2.67,1920,1080,Yes,Intel,1.6,SSD,256,Intel,799.0
Asus,2 in 1 Convertible,8,Windows 10,1.1,1920,1080,Yes,Intel,1.8,"SSD, SSD",1024,Intel,1499.0
Lenovo,Notebook,4,No OS,2.2,1920,1080,No,Intel,2.5,HDD,1024,Intel,467.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.8,HDD,1024,Nvidia,1018.0
Lenovo,Notebook,8,Windows 10,2.05,1920,1080,No,Intel,1.8,SSD,256,Intel,880.0
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,2.9,SSD,512,Intel,1958.9
Asus,Gaming,16,Windows 10,3.2,1920,1080,No,AMD,3.0,"SSD, HDD",1280,AMD,1549.0
Dell,Notebook,8,Linux,2.14,1920,1080,No,Intel,1.8,SSD,256,AMD,735.07
Lenovo,2 in 1 Convertible,16,Windows 10,1.36,2560,1440,Yes,Intel,2.6,SSD,512,Intel,2499.0
Toshiba,Notebook,8,Windows 10,2.2,1366,768,No,Intel,2.5,HDD,500,Nvidia,812.0
Dell,Notebook,12,Windows 10,2.3,1366,768,No,Intel,2.7,HDD,1024,Intel,713.07
Dell,Notebook,8,Linux,2.8,1920,1080,No,Intel,1.8,"SSD, HDD",1152,AMD,1099.0
Acer,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.8,HDD,1024,Nvidia,745.0
Lenovo,Notebook,4,Windows 10,2.8,1600,900,No,Intel,2.0,HDD,1024,Intel,489.0
Lenovo,Notebook,8,No OS,2.8,1920,1080,No,Intel,1.8,HDD,2048,Nvidia,849.0
Lenovo,Notebook,6,Windows 10,2.8,1600,900,No,Intel,2.7,"SSD, HDD",1152,Nvidia,859.0
Dell,Notebook,4,Linux,2.25,1920,1080,No,Intel,2.0,HDD,1024,AMD,428.0
Lenovo,Gaming,8,Windows 10,2.5,1920,1080,No,Intel,2.5,SSD,256,Nvidia,829.0
Lenovo,Notebook,6,Windows 10,2.2,1920,1080,No,Intel,2.5,SSD,256,Intel,579.0
Acer,Notebook,8,Windows 10,3.0,1920,1080,No,Intel,1.8,SSD,256,Nvidia,951.0
Acer,Notebook,12,Windows 10,2.15,1920,1080,Yes,Intel,2.7,HDD,1024,Intel,659.0
Lenovo,Notebook,8,Windows 10,1.95,1920,1080,No,Intel,2.7,SSD,256,Intel,1097.0
Asus,Ultrabook,8,Windows 10,1.7,1920,1080,No,Intel,2.5,SSD,256,Nvidia,977.0
Lenovo,Gaming,16,Windows 10,2.5,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1179.0
Lenovo,Notebook,8,No OS,2.2,1920,1080,No,Intel,2.7,HDD,1024,Nvidia,659.01
Acer,Notebook,2,Chrome OS,2.19,1366,768,No,Intel,1.5,SSD,16,Intel,199.0
Asus,Gaming,8,Windows 10,3.0,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,1187.0
HP,Notebook,8,Windows 10,2.54,1600,900,No,Intel,2.0,HDD,1024,Intel,489.0
Dell,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.8,SSD,256,Nvidia,1829.0
Lenovo,Notebook,8,Windows 10,2.05,1920,1080,No,Intel,1.6,SSD,256,Intel,739.0
Lenovo,Gaming,8,Windows 10,3.2,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,1299.0
Acer,Notebook,8,Linux,2.5,1920,1080,No,Intel,2.8,SSD,256,Nvidia,979.0
Dell,Workstation,16,Windows 10,3.42,1920,1080,No,Intel,2.9,SSD,256,Nvidia,2884.86
Lenovo,Notebook,6,Windows 10,2.4,1920,1080,No,AMD,2.4,HDD,1024,AMD,499.0
Asus,Ultrabook,16,Windows 10,1.63,1920,1080,No,Intel,2.7,SSD,512,Nvidia,1468.0
Asus,Notebook,4,Windows 10,1.3,1366,768,No,Intel,2.4,SSD,128,Intel,509.0
Asus,Gaming,16,Windows 10,2.9,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,2122.0
Lenovo,Notebook,6,Windows 10,2.8,1600,900,No,Intel,2.5,HDD,1024,Nvidia,649.0
Lenovo,Notebook,8,No OS,2.2,1366,768,No,Intel,2.5,HDD,2048,Nvidia,549.0
Asus,Gaming,8,Windows 10,2.5,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1265.0
Lenovo,Notebook,4,No OS,2.2,1366,768,No,Intel,1.1,HDD,1024,Intel,359.99
HP,2 in 1 Convertible,16,Windows 10,1.28,1920,1080,Yes,Intel,2.8,SSD,256,Intel,1975.0
Toshiba,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,2.5,SSD,256,Nvidia,1043.0
Lenovo,Notebook,8,Windows 10,2.3,1920,1080,No,Intel,2.5,"SSD, HDD",1152,Nvidia,819.0
HP,Notebook,4,Windows 10,1.86,1920,1080,No,Intel,2.0,HDD,1024,Intel,469.0
Lenovo,Notebook,8,Windows 10,1.1,1920,1080,No,Intel,2.5,SSD,256,Intel,999.0
Dell,Ultrabook,16,Windows 10,1.21,3840,2160,Yes,Intel,1.8,SSD,1024,Intel,2499.0
MSI,Gaming,16,Windows 10,2.8,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,2099.0
Acer,Notebook,8,Windows 10,2.23,1920,1080,No,AMD,2.2,SSD,256,AMD,469.0
Asus,2 in 1 Convertible,2,Windows 10,1.1,1366,768,Yes,Intel,1.1,Flash Storage,32,Intel,275.0
Dell,Notebook,8,Windows 10,2.33,1920,1080,No,Intel,1.6,"SSD, HDD",1152,AMD,844.0
HP,2 in 1 Convertible,16,Windows 10,1.29,3840,2160,Yes,Intel,1.8,SSD,1024,Intel,2449.0
Lenovo,Notebook,4,Chrome OS,1.45,1366,768,No,Intel,1.6,Flash Storage,16,Intel,459.9
HP,Notebook,8,Windows 10,1.95,1920,1080,No,Intel,2.5,SSD,256,Intel,980.0
Acer,Notebook,4,Windows 10,1.4,1366,768,No,Intel,1.6,Flash Storage,128,Intel,485.0
HP,Notebook,8,Windows 10,1.48,1920,1080,No,Intel,2.7,SSD,256,Intel,1292.0
Lenovo,Notebook,4,Windows 10,2.79,1600,900,No,Intel,2.5,HDD,1024,Nvidia,589.0
Asus,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.7,SSD,256,Intel,1094.0
HP,Notebook,8,Windows 10,2.1,1366,768,No,Intel,1.8,HDD,1024,Intel,902.0
Acer,Notebook,8,Windows 10,2.2,1366,768,No,AMD,2.7,SSD,256,AMD,659.0
Lenovo,Notebook,4,Windows 10,1.44,1366,768,No,Intel,1.1,Flash Storage,32,Intel,292.0
Acer,Notebook,6,Windows 10,2.23,1366,768,No,Intel,2.5,HDD,1024,Intel,549.0
Asus,Ultrabook,8,Windows 10,1.7,1920,1080,No,Intel,2.7,SSD,256,Nvidia,1049.9
HP,Ultrabook,8,Windows 10,1.26,1920,1080,No,Intel,2.7,SSD,256,Intel,1335.0
Dell,Notebook,32,Windows 10,2.06,3840,2160,Yes,Intel,2.8,SSD,1024,Nvidia,2639.0
MSI,Gaming,8,Windows 10,2.7,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1199.0
Toshiba,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.5,SSD,256,Intel,943.0
Asus,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.7,"SSD, HDD",1280,Intel,1334.0
Lenovo,Notebook,4,Windows 10,1.85,1920,1080,No,Intel,2.0,HDD,1024,Intel,449.0
Asus,Gaming,8,Windows 10,2.5,1920,1080,No,Intel,2.8,SSD,256,Nvidia,999.0
HP,Notebook,8,Windows 10,1.48,1920,1080,No,Intel,2.6,SSD,256,Intel,1268.0
Dell,Ultrabook,8,Windows 10,1.9,1920,1080,No,Intel,1.6,"SSD, HDD",1152,Nvidia,1049.0
HP,Notebook,8,Windows 10,1.84,1920,1080,No,Intel,2.5,SSD,256,Intel,1144.0
Asus,Notebook,4,Linux,2.0,1366,768,No,Intel,1.1,HDD,1024,Intel,274.99
Dell,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,1.6,SSD,256,Nvidia,1142.75
Dell,Notebook,4,Linux,2.2,1366,768,No,Intel,1.6,HDD,500,Intel,274.9
Lenovo,Notebook,12,Windows 10,2.2,1920,1080,No,AMD,3.6,HDD,2048,AMD,899.0
HP,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,2.4,HDD,1024,Nvidia,716.0
Lenovo,2 in 1 Convertible,16,Windows 10,1.4,3840,2160,Yes,Intel,1.8,SSD,512,Intel,2099.0
Dell,Ultrabook,8,Windows 10,1.2,1920,1080,No,Intel,1.8,SSD,256,Intel,1579.0
Lenovo,Gaming,16,Windows 10,2.4,1920,1080,No,Intel,2.8,"SSD, HDD",2304,Nvidia,1129.0
HP,Notebook,2,Windows 10,1.44,1366,768,No,Intel,1.6,Flash Storage,32,Intel,279.0
Dell,Ultrabook,16,Windows 10,1.88,1920,1080,No,Intel,1.9,"SSD, SSD",768,Intel,1607.96
Asus,2 in 1 Convertible,4,Windows 10,1.5,1366,768,Yes,Intel,1.1,Flash Storage,32,Intel,375.0
Dell,Ultrabook,8,Windows 10,1.9,1920,1080,No,Intel,1.6,HDD,1024,AMD,663.0
Dell,Notebook,16,Windows 10,2.06,3840,2160,Yes,Intel,2.8,SSD,512,Nvidia,2027.42
HP,Notebook,8,Windows 10,1.84,1920,1080,No,Intel,2.7,SSD,256,Intel,1304.0
MSI,Gaming,8,Windows 10,2.7,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1409.0
HP,Workstation,8,Windows 10,2.6,1920,1080,No,Intel,2.8,SSD,256,Nvidia,1738.27
Toshiba,Notebook,16,Windows 10,2.4,1920,1080,No,Intel,2.5,SSD,512,Nvidia,1403.0
Dell,Notebook,8,Windows 10,2.02,1920,1080,No,Intel,1.8,"SSD, HDD",2176,AMD,970.9
Lenovo,Notebook,4,No OS,2.2,1366,768,No,Intel,1.1,HDD,1024,Intel,321.99
Dell,Gaming,8,Windows 10,2.65,1920,1080,No,Intel,2.5,HDD,1024,Nvidia,999.0
Dell,Notebook,8,Windows 10,2.36,1366,768,Yes,Intel,2.5,HDD,2048,Intel,557.37
Dell,Notebook,8,Windows 10,1.36,1920,1080,No,Intel,2.6,SSD,256,Intel,1427.0
HP,Notebook,4,Windows 10,1.86,1366,768,No,Intel,2.0,HDD,500,Intel,439.0
Asus,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.5,SSD,256,Intel,945.0
Lenovo,Notebook,6,Windows 10,2.8,1600,900,No,Intel,2.5,"SSD, HDD",1152,Nvidia,719.0
HP,Notebook,8,Windows 10,1.86,1920,1080,No,Intel,2.5,HDD,1024,Intel,639.0
Lenovo,Notebook,8,No OS,2.2,1366,768,No,Intel,2.0,SSD,256,Nvidia,499.0
HP,Notebook,8,Windows 10,2.04,1366,768,No,Intel,1.6,HDD,2048,Intel,389.0
Dell,Notebook,8,Windows 10,2.8,1920,1080,No,Intel,1.6,"SSD, HDD",1152,AMD,1085.0
Lenovo,Gaming,8,No OS,2.4,1920,1080,No,Intel,2.5,"SSD, HDD",1152,Nvidia,809.0
Dell,Notebook,8,Windows 10,2.33,1920,1080,No,Intel,2.7,SSD,256,AMD,899.0
HP,Ultrabook,8,Windows 10,1.36,1920,1080,No,Intel,2.7,SSD,256,Intel,1750.0
Asus,2 in 1 Convertible,12,Windows 10,2.26,1920,1080,Yes,Intel,2.7,"SSD, HDD",2560,Nvidia,1099.0
Acer,Notebook,4,Windows 10,2.1,1366,768,No,AMD,3.0,SSD,128,AMD,426.0
Asus,Gaming,16,Windows 10,3.25,1920,1080,No,AMD,3.0,"SSD, HDD",1280,AMD,2199.0
Lenovo,Notebook,4,Windows 10,2.6,1600,900,No,AMD,2.2,SSD,128,AMD,489.0
Dell,2 in 1 Convertible,8,Windows 10,1.62,1920,1080,Yes,Intel,1.8,SSD,256,Intel,869.01
HP,Notebook,4,Windows 10,1.91,1920,1080,No,AMD,3.0,SSD,256,AMD,488.99
Lenovo,Netbook,4,Windows 10,1.59,1366,768,No,Intel,1.1,SSD,128,Intel,553.0
Dell,Notebook,4,Windows 10,1.8,1366,768,No,Intel,1.6,HDD,500,Intel,309.0
Asus,Notebook,4,Windows 10,1.5,1366,768,No,Intel,1.1,Flash Storage,32,Intel,286.0
Acer,Notebook,8,Linux,2.4,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,846.0
HP,Gaming,8,Windows 10,3.35,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1191.0
Lenovo,Notebook,4,No OS,1.85,1920,1080,No,Intel,2.0,SSD,128,Intel,403.5
Asus,Gaming,8,Windows 10,2.3,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1655.0
Lenovo,Notebook,8,Windows 10,1.5,1920,1080,No,Intel,2.5,SSD,256,Nvidia,1099.0
Asus,Ultrabook,16,Windows 10,1.1,1920,1080,Yes,Intel,2.7,SSD,512,Intel,1748.9
Lenovo,Ultrabook,8,Windows 10,1.13,2560,1440,No,Intel,2.7,SSD,512,Intel,2282.0
Lenovo,Notebook,4,Windows 10,1.5,1920,1080,No,Intel,2.4,SSD,128,Intel,549.0
Dell,Workstation,8,Windows 10,2.23,1920,1080,No,Intel,2.6,HDD,500,AMD,1369.0
Dell,Workstation,8,Windows 10,2.0,1920,1080,No,Intel,2.7,SSD,256,Nvidia,2135.0
Lenovo,2 in 1 Convertible,16,Windows 10,1.42,2560,1440,Yes,Intel,2.7,SSD,512,Intel,2509.0
Asus,Gaming,8,Windows 10,3.0,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,1039.0
Asus,Gaming,16,Windows 10,3.0,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1591.0
Acer,Notebook,12,Windows 10,2.2,1366,768,No,Intel,1.6,HDD,1024,Nvidia,693.99
MSI,Gaming,8,Windows 10,2.7,1920,1080,No,Intel,2.8,SSD,256,Nvidia,1349.0
Dell,Notebook,8,Linux,2.33,1920,1080,No,Intel,2.7,SSD,256,AMD,778.87
HP,Ultrabook,4,Windows 10,1.91,1920,1080,No,AMD,3.0,SSD,256,AMD,499.0
Lenovo,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,1.8,SSD,256,AMD,1229.56
Lenovo,Notebook,8,Windows 10,1.9,1920,1080,No,Intel,2.5,SSD,256,Intel,938.0
Dell,Workstation,8,Windows 10,1.78,3840,2160,Yes,Intel,2.8,SSD,256,Nvidia,2712.0
Lenovo,Ultrabook,16,Windows 10,1.13,2560,1440,No,Intel,2.7,SSD,1024,Intel,2625.0
Lenovo,Notebook,4,Windows 10,2.2,1366,768,No,Intel,1.1,HDD,1024,Intel,306.0
Asus,Gaming,16,Windows 10,2.9,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1529.0
Lenovo,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,1.6,"SSD, HDD",1280,AMD,1144.5
Acer,Notebook,8,Linux,2.5,1920,1080,No,Intel,2.8,SSD,256,Nvidia,879.0
MSI,Gaming,16,Windows 10,2.8,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,2249.0
Asus,Ultrabook,8,Windows 10,1.1,1920,1080,No,Intel,2.7,SSD,512,Intel,1873.0
Toshiba,Ultrabook,16,Windows 10,1.2,1920,1080,No,Intel,2.5,SSD,512,Intel,1747.0
Dell,Ultrabook,8,Windows 10,1.36,1920,1080,No,Intel,2.8,SSD,512,Intel,1680.0
Lenovo,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,2.0,HDD,500,Intel,409.0
Lenovo,Notebook,2,Windows 10,1.15,1366,768,No,Intel,1.1,Flash Storage,32,Intel,304.45
Lenovo,Workstation,8,Windows 10,2.67,1920,1080,No,Intel,2.8,SSD,512,Nvidia,1925.0
Lenovo,Ultrabook,8,Windows 10,1.7,2560,1440,No,Intel,2.8,SSD,512,Nvidia,1943.0
HP,Notebook,4,Windows 10,2.1,1920,1080,No,Intel,2.0,HDD,1024,AMD,469.0
Acer,2 in 1 Convertible,8,Windows 10,1.6,1920,1080,Yes,Intel,2.5,SSD,256,Intel,789.01
Asus,2 in 1 Convertible,8,Windows 10,1.27,1920,1080,Yes,Intel,2.5,SSD,256,Intel,928.0
Dell,Notebook,4,Linux,2.3,1920,1080,No,Intel,2.5,SSD,256,AMD,598.9
Dell,Notebook,4,Windows 10,1.65,1366,768,No,Intel,2.0,SSD,128,Intel,689.0
HP,Ultrabook,8,Windows 10,1.43,1920,1080,No,Intel,2.5,SSD,256,Intel,1500.0
Dell,Notebook,8,Windows 10,2.14,1366,768,No,Intel,2.5,HDD,1024,Intel,539.95
Lenovo,Ultrabook,8,Windows 10,1.75,1920,1080,No,Intel,1.8,SSD,256,AMD,1215.38
Lenovo,2 in 1 Convertible,16,Windows 10,2.0,3840,2160,Yes,Intel,2.8,SSD,512,Nvidia,1899.0
Chuwi,Notebook,6,Windows 10,1.4,2736,1824,No,Intel,1.1,Flash Storage,64,Intel,449.0
HP,Notebook,8,Windows 10,2.31,1920,1080,No,Intel,2.9,SSD,256,Intel,1427.0
Asus,Notebook,8,Linux,2.3,1920,1080,No,Intel,2.4,HDD,1024,Nvidia,597.0
Dell,Gaming,16,Windows 10,4.42,2560,1440,No,Intel,2.9,"SSD, HDD",1280,Nvidia,2799.0
Dell,Gaming,8,Windows 10,2.62,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1159.0
Dell,Notebook,8,Windows 10,2.02,1920,1080,No,Intel,1.8,"SSD, HDD",2304,AMD,1142.4
Dell,Ultrabook,8,Linux,1.6,1920,1080,No,Intel,2.8,SSD,256,Intel,1099.0
HP,Gaming,12,Windows 10,3.35,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1999.0
Mediacom,2 in 1 Convertible,4,Windows 10,1.16,1920,1080,Yes,Intel,1.1,SSD,32,Intel,299.0
Samsung,Netbook,4,Chrome OS,1.15,1366,768,No,Intel,1.6,Flash Storage,16,Intel,269.0
Lenovo,Notebook,8,Windows 10,1.4,1920,1080,No,Intel,2.7,SSD,256,Intel,1010.0
Lenovo,Notebook,4,Windows 10,1.7,1920,1080,No,Intel,2.7,SSD,128,Intel,599.0
Lenovo,Workstation,16,Windows 10,2.3,3840,2160,No,Intel,2.8,SSD,512,Nvidia,2445.0
Lenovo,Notebook,16,Windows 10,2.5,1920,1080,No,Intel,2.9,SSD,512,Nvidia,2449.0
Asus,Gaming,8,Windows 10,3.2,1920,1080,No,AMD,3.2,"SSD, HDD",1280,AMD,1695.0
HP,Notebook,4,Windows 10,2.1,1366,768,No,Intel,1.6,HDD,500,Intel,347.0
Google,Ultrabook,16,Chrome OS,1.1,2400,1600,Yes,Intel,1.3,SSD,512,Intel,2199.0
Lenovo,Ultrabook,24,Windows 10,1.32,2560,1440,No,Intel,2.7,SSD,512,Intel,2382.0
Asus,Notebook,4,Linux,2.0,1920,1080,No,Intel,2.5,SSD,256,Intel,559.0
Lenovo,Notebook,8,Windows 10,2.8,1600,900,No,AMD,2.5,HDD,1024,AMD,519.0
Dell,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,1.6,SSD,256,AMD,749.0
Lenovo,Ultrabook,8,Windows 10,1.36,1920,1080,No,Intel,2.5,SSD,256,Intel,1429.0
Lenovo,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,1.1,SSD,128,Intel,349.0
HP,Gaming,8,Windows 10,2.2,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1099.0
Dell,Notebook,8,Windows 10,1.64,1920,1080,No,Intel,2.8,SSD,256,Nvidia,1179.0
Acer,Notebook,4,Linux,2.4,1366,768,No,Intel,2.5,HDD,500,Intel,441.8
Dell,Workstation,8,Windows 10,2.23,1920,1080,No,Intel,3.0,"Flash Storage, HDD",1088,Nvidia,1993.0
MSI,Gaming,8,Windows 10,2.2,1920,1080,No,Intel,2.5,SSD,256,Nvidia,1027.74
Microsoft,Ultrabook,16,Windows 10 S,1.25,2256,1504,Yes,Intel,2.5,SSD,512,Intel,2589.0
HP,Notebook,8,Windows 10,1.91,1366,768,No,Intel,2.5,SSD,128,Intel,589.0
Dell,Workstation,16,Windows 10,2.17,1920,1080,No,Intel,2.7,SSD,256,Nvidia,1975.0
HP,Workstation,8,Windows 10,2.31,1920,1080,No,Intel,2.9,SSD,512,Intel,1534.0
Lenovo,Notebook,8,Windows 10,1.65,1920,1080,No,Intel,2.5,SSD,256,Intel,1345.0
Dell,Notebook,8,Windows 10,2.36,1920,1080,No,Intel,1.8,"SSD, HDD",1152,AMD,979.0
Dell,2 in 1 Convertible,4,Windows 10,1.47,1366,768,Yes,Intel,1.6,HDD,500,Intel,479.0
Dell,Notebook,8,Windows 10,4.42,1920,1080,No,Intel,2.7,HDD,1024,Nvidia,2046.0
Microsoft,Ultrabook,4,Windows 10 S,1.252,2256,1504,Yes,Intel,2.2,SSD,128,Intel,989.0
Microsoft,Ultrabook,8,Windows 10 S,1.25,2256,1504,Yes,Intel,2.5,SSD,256,Intel,1799.0
HP,Notebook,8,Windows 10,2.5,1600,900,No,Intel,2.0,SSD,256,Intel,639.9
Acer,Notebook,4,Windows 10,2.23,1920,1080,No,Intel,2.0,HDD,1024,Nvidia,544.0
Acer,Netbook,4,Windows 10,1.4,1366,768,No,Intel,1.6,SSD,128,Intel,435.0
Asus,Notebook,8,Windows 10,2.37,1920,1080,No,Intel,2.5,HDD,1024,Intel,749.0
Lenovo,Notebook,8,No OS,1.5,1920,1080,No,Intel,2.7,SSD,512,AMD,799.0
Lenovo,Notebook,8,Windows 10,2.67,1920,1080,No,Intel,2.9,SSD,256,Nvidia,2090.0
Asus,Notebook,4,Windows 10,2.0,1366,768,No,Intel,1.1,HDD,500,Intel,304.0
Acer,Notebook,4,Windows 10,2.2,1366,768,No,Intel,2.0,HDD,500,Nvidia,469.0
Dell,Notebook,8,Windows 10,2.02,1920,1080,No,Intel,1.6,HDD,2048,AMD,759.0
HP,Gaming,12,Windows 10,3.78,1920,1080,No,Intel,2.8,HDD,1024,Nvidia,1699.0
Lenovo,Ultrabook,12,Windows 10,1.4,2560,1440,No,Intel,2.6,SSD,256,Intel,1858.0
HP,2 in 1 Convertible,8,Windows 10,1.29,3840,2160,Yes,Intel,1.8,SSD,512,Intel,1999.0
HP,Notebook,8,Windows 10,1.9,1920,1080,No,Intel,2.5,HDD,500,AMD,1154.0
Google,Ultrabook,8,Chrome OS,1.1,2400,1600,Yes,Intel,1.2,SSD,128,Intel,1275.0
Dell,Ultrabook,8,Windows 10,1.42,1920,1080,Yes,Intel,1.6,SSD,256,Intel,1841.85
Asus,Notebook,12,Windows 10,2.06,3840,2160,No,Intel,2.6,"SSD, HDD",1152,Intel,1299.0
Dell,Notebook,8,Windows 10,1.79,1366,768,No,Intel,2.3,SSD,128,Intel,740.0
Dell,Workstation,8,Windows 10,1.78,1920,1080,No,Intel,2.8,SSD,256,Nvidia,2408.0
Lenovo,Notebook,8,Windows 10,1.7,1920,1080,No,Intel,2.5,SSD,180,Intel,1364.0
Dell,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.6,HDD,1024,AMD,675.0
Toshiba,Notebook,8,Windows 10,1.05,1920,1080,No,Intel,2.5,SSD,256,Intel,1672.0
Dell,Notebook,8,Windows 10,2.16,1920,1080,No,Intel,1.8,SSD,512,Nvidia,1262.0
Dell,Notebook,4,Windows 10,2.18,1366,768,No,Intel,2.4,HDD,1024,Intel,586.6
HP,Notebook,4,Windows 10,1.49,1920,1080,No,Intel,1.6,SSD,128,Intel,726.0
Chuwi,Notebook,4,Windows 10,1.89,1920,1080,No,Intel,1.44,Flash Storage,64,Intel,248.9
Lenovo,Notebook,4,Windows 10,2.3,1366,768,No,Intel,2.0,SSD,128,Intel,565.0
Lenovo,Notebook,8,Windows 10,1.75,1920,1080,No,Intel,1.6,SSD,256,Intel,1049.0
Dell,Workstation,16,Windows 10,2.17,1920,1080,No,Intel,2.7,SSD,512,Nvidia,2338.0
Dell,Notebook,16,Windows 10,2.06,1920,1080,No,Intel,2.8,SSD,512,Nvidia,1899.0
Lenovo,Ultrabook,16,Windows 10,1.36,1920,1080,No,Intel,2.7,SSD,512,Intel,1798.0
Asus,Ultrabook,16,Windows 10,0.91,1920,1080,No,Intel,2.7,SSD,512,Intel,1950.0
Lenovo,Notebook,8,Windows 10,2.3,1920,1080,No,Intel,2.5,SSD,256,Nvidia,1011.99
Toshiba,Ultrabook,32,Windows 10,1.05,1920,1080,Yes,Intel,2.7,SSD,512,Intel,2799.0
Asus,Gaming,8,Windows 10,1.99,1920,1080,No,Intel,2.8,"SSD, HDD",1152,Nvidia,1350.0
Acer,Notebook,8,Windows 10,2.2,1366,768,No,AMD,2.5,HDD,1024,AMD,579.0
Asus,Gaming,24,Windows 10,4.33,1920,1080,Yes,Intel,2.6,"SSD, HDD",1280,Nvidia,1269.0
Lenovo,Ultrabook,8,Windows 10,1.3,1366,768,No,Intel,2.3,SSD,180,Intel,1099.0
Lenovo,Notebook,8,Windows 10,2.17,1920,1080,No,Intel,1.8,SSD,256,Intel,898.9
HP,Notebook,8,Windows 10,1.48,1920,1080,No,Intel,2.8,SSD,1024,Intel,1749.0
Lenovo,Notebook,8,Windows 10,1.4,1920,1080,No,Intel,2.4,SSD,256,Intel,949.0
Lenovo,Notebook,8,Windows 10,2.3,1920,1080,No,Intel,2.5,SSD,256,Intel,911.0
Asus,Netbook,4,Windows 10 S,1.2,1366,768,No,Intel,1.1,Flash Storage,64,Intel,340.0
HP,Notebook,8,Windows 10,1.91,1366,768,No,Intel,2.5,SSD,256,AMD,618.99
Lenovo,2 in 1 Convertible,8,Windows 10,1.4,1920,1080,Yes,Intel,1.6,SSD,256,Intel,1599.0
Lenovo,Notebook,4,Windows 10,2.1,1366,768,No,Intel,1.1,HDD,500,Intel,299.0
Lenovo,Netbook,4,Chrome OS,1.25,1366,768,No,Intel,1.6,SSD,16,Intel,265.0
Lenovo,Notebook,8,Windows 10,1.44,1920,1080,No,Intel,2.5,SSD,256,Intel,949.0
Asus,Notebook,8,Windows 10,2.0,1920,1080,No,Intel,2.7,"SSD, HDD",1280,Intel,1224.0
Acer,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,1.6,HDD,1024,Nvidia,613.0
HP,Ultrabook,8,Windows 10,1.34,1920,1080,No,Intel,2.7,SSD,512,Intel,1323.0
